epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1164.07,0.59743,0.55247,1.05618,0.79304,0.88024,0.8079,0.72393,0.43661,0.41237,0.96484,0.00058175,0.00058175,0.00058175
56,1184.63,0.5656,0.54344,1.04244,0.80853,0.87576,0.81991,0.74005,0.40672,0.4046,0.9494,0.000569375,0.000569375,0.000569375
57,1205.36,0.54907,0.50954,1.02901,0.84894,0.8366,0.83778,0.75778,0.38559,0.39295,0.93417,0.000557,0.000557,0.000557
58,1225.75,0.5912,0.5403,1.06331,0.79692,0.86945,0.83039,0.75255,0.36962,0.38492,0.93134,0.000544625,0.000544625,0.000544625
59,1246.02,0.55724,0.51279,1.03925,0.8174,0.84109,0.84327,0.76238,0.37819,0.38491,0.92855,0.00053225,0.00053225,0.00053225
60,1266.68,0.55322,0.50275,1.02837,0.81325,0.86047,0.84621,0.75916,0.40361,0.39097,0.94612,0.000519875,0.000519875,0.000519875
61,1287.52,0.54017,0.51071,1.02119,0.81312,0.88614,0.8468,0.76583,0.38266,0.38194,0.93656,0.0005075,0.0005075,0.0005075
62,1307.8,0.53183,0.50968,1.02491,0.83841,0.83008,0.84588,0.77077,0.36891,0.37678,0.92458,0.000495125,0.000495125,0.000495125
63,1328.58,0.5474,0.50549,1.01618,0.8535,0.82868,0.84483,0.75907,0.37812,0.37525,0.92249,0.00048275,0.00048275,0.00048275
64,1348.7,0.53304,0.48671,1.01535,0.83827,0.87612,0.84195,0.75849,0.39493,0.38979,0.93818,0.000470375,0.000470375,0.000470375
65,1369.11,0.53844,0.50269,1.02089,0.78443,0.86017,0.848,0.76286,0.37627,0.3731,0.92604,0.000458,0.000458,0.000458
66,1388.94,0.53837,0.49652,1.02288,0.83417,0.84865,0.84545,0.75948,0.40219,0.38328,0.93777,0.000445625,0.000445625,0.000445625
67,1408.74,0.52623,0.48588,1.00991,0.83841,0.86966,0.8368,0.7524,0.40827,0.38049,0.94652,0.00043325,0.00043325,0.00043325
68,1428.46,0.54035,0.4842,1.01821,0.83934,0.84691,0.84724,0.76714,0.3582,0.37809,0.91274,0.000420875,0.000420875,0.000420875
69,1448.03,0.5446,0.48532,1.02483,0.84476,0.82896,0.84439,0.7685,0.36228,0.36348,0.91981,0.0004085,0.0004085,0.0004085
70,1468.78,0.52724,0.47139,1.00354,0.82051,0.88706,0.83967,0.76903,0.36639,0.37268,0.91987,0.000396125,0.000396125,0.000396125
71,1489.09,0.53053,0.48964,1.0064,0.80896,0.86336,0.83306,0.75694,0.37962,0.3685,0.92471,0.00038375,0.00038375,0.00038375
72,1509.61,0.52489,0.47265,1.01038,0.80385,0.85035,0.83675,0.76461,0.37732,0.38614,0.92105,0.000371375,0.000371375,0.000371375
73,1529.62,0.51644,0.46175,1.00707,0.84079,0.86407,0.84874,0.78714,0.33842,0.35536,0.90435,0.000359,0.000359,0.000359
74,1550.11,0.52716,0.46593,1.00655,0.81296,0.87972,0.83318,0.75826,0.37635,0.37178,0.91917,0.000346625,0.000346625,0.000346625
75,1570.31,0.52981,0.49031,1.0345,0.80906,0.9049,0.84884,0.78195,0.3707,0.35527,0.92235,0.00033425,0.00033425,0.00033425
76,1590.54,0.50861,0.46227,1.00295,0.82926,0.86932,0.84031,0.77109,0.34752,0.35762,0.90783,0.000321875,0.000321875,0.000321875
77,1610.69,0.49829,0.44738,0.99272,0.8367,0.86333,0.85122,0.78353,0.33588,0.35254,0.90041,0.0003095,0.0003095,0.0003095
78,1630.98,0.51399,0.47801,1.0099,0.84436,0.87505,0.85235,0.78374,0.35641,0.35433,0.91208,0.000297125,0.000297125,0.000297125
79,1650.41,0.49862,0.44719,0.99332,0.83044,0.84347,0.85018,0.78012,0.35389,0.34647,0.9076,0.00028475,0.00028475,0.00028475
80,1670.7,0.50283,0.46917,0.99921,0.82874,0.87998,0.83885,0.77405,0.33941,0.35126,0.90423,0.000272375,0.000272375,0.000272375
81,1691.55,0.4941,0.44992,0.98442,0.80988,0.84791,0.84099,0.76776,0.37736,0.37007,0.92125,0.00026,0.00026,0.00026
82,1712.04,0.53129,0.48301,1.00624,0.85346,0.88518,0.85626,0.77718,0.34793,0.34954,0.90804,0.000247625,0.000247625,0.000247625
83,1733.37,0.49655,0.45001,0.99558,0.84052,0.84614,0.8425,0.77836,0.35399,0.34842,0.90629,0.00023525,0.00023525,0.00023525
84,1754.38,0.49646,0.46821,0.99105,0.79413,0.91142,0.84302,0.78119,0.34122,0.35131,0.9016,0.000222875,0.000222875,0.000222875
85,1774.78,0.49357,0.44212,0.99284,0.84239,0.8571,0.84696,0.78333,0.33578,0.34444,0.89745,0.0002105,0.0002105,0.0002105
86,1794.95,0.47415,0.42364,0.97401,0.82572,0.88551,0.86614,0.79475,0.34263,0.33794,0.90123,0.000198125,0.000198125,0.000198125
87,1815.28,0.48968,0.4472,0.9898,0.85771,0.86784,0.86891,0.79785,0.34042,0.34984,0.90093,0.00018575,0.00018575,0.00018575
88,1835.17,0.48847,0.44552,0.99767,0.87146,0.88742,0.87307,0.80497,0.32753,0.33035,0.89109,0.000173375,0.000173375,0.000173375
89,1854.79,0.47775,0.43091,0.97799,0.83892,0.87856,0.87083,0.80265,0.3302,0.33354,0.89467,0.000161,0.000161,0.000161
90,1875.99,0.48002,0.4342,0.98522,0.86233,0.87732,0.86792,0.80557,0.32282,0.32732,0.89273,0.000148625,0.000148625,0.000148625
91,1899.68,0.38074,0.3677,0.92196,0.84307,0.87629,0.86565,0.80484,0.32961,0.33136,0.89299,0.00013625,0.00013625,0.00013625
92,1919.61,0.38071,0.37547,0.91413,0.84068,0.89214,0.8655,0.80278,0.33105,0.33148,0.89289,0.000123875,0.000123875,0.000123875
93,1939.69,0.39555,0.38975,0.94518,0.85919,0.87442,0.87817,0.81344,0.32696,0.32931,0.89041,0.0001115,0.0001115,0.0001115
94,1958.74,0.37559,0.36614,0.9186,0.8591,0.86703,0.87129,0.80872,0.3216,0.3233,0.88939,9.9125e-05,9.9125e-05,9.9125e-05
95,1978.48,0.42263,0.43771,0.9632,0.85511,0.89018,0.87479,0.81501,0.32069,0.32431,0.88714,8.675e-05,8.675e-05,8.675e-05
96,1997.59,0.3632,0.3484,0.91205,0.82959,0.90366,0.87654,0.81948,0.32116,0.3211,0.88822,7.4375e-05,7.4375e-05,7.4375e-05
97,2017.68,0.36408,0.34653,0.90625,0.86391,0.90106,0.88447,0.81949,0.31733,0.31594,0.88691,6.2e-05,6.2e-05,6.2e-05
98,2037.25,0.36389,0.34484,0.91097,0.84992,0.88257,0.87728,0.81601,0.31893,0.31931,0.88745,4.9625e-05,4.9625e-05,4.9625e-05
99,2056.58,0.36203,0.35355,0.91305,0.85278,0.89937,0.87651,0.81521,0.31565,0.31813,0.88555,3.725e-05,3.725e-05,3.725e-05
100,2076.01,0.3575,0.34221,0.90937,0.86395,0.88733,0.87587,0.81717,0.31363,0.31594,0.88434,2.4875e-05,2.4875e-05,2.4875e-05
